level	page_num	par_num	block_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0.000000	0.000000	612.000000	792.000000	-1	###PAGE###
3	1	0	0	0	0	310.445600	29.495796	239.337356	34.086131	-1	###FLOW###
4	1	0	0	0	0	310.445600	29.495796	239.337356	34.086131	-1	###LINE###
5	1	0	0	0	0	310.45	29.50	43.58	34.09	100	Your
5	1	0	0	0	1	359.34	29.50	58.99	34.09	100	FedEx
5	1	0	0	0	2	423.66	29.50	46.90	34.09	100	zone
5	1	0	0	0	3	475.88	29.50	67.42	34.09	100	locator
5	1	0	0	0	4	543.29	31.88	6.49	17.58	100	1
3	1	0	1	0	0	45.000100	79.676100	132.381000	11.799000	-1	###FLOW###
4	1	0	1	0	0	45.000100	79.676100	132.381000	11.799000	-1	###LINE###
5	1	0	1	0	0	45.00	79.68	10.85	11.80	100	For
5	1	0	1	0	1	57.59	79.68	34.23	11.80	100	shipments
5	1	0	1	0	2	93.57	79.68	35.84	11.80	100	originating
5	1	0	1	0	3	131.15	79.68	5.85	11.80	100	in
5	1	0	1	0	4	138.75	79.68	10.76	11.80	100	ZIP
5	1	0	1	0	5	151.26	79.68	26.12	11.80	100	code(s):
3	1	1	0	0	0	223.736300	79.680200	155.097000	63.792000	-1	###FLOW###
4	1	1	0	0	0	223.736300	79.680200	73.404000	11.799000	-1	###LINE###
5	1	1	0	0	0	223.74	79.68	15.77	11.80	100	How
5	1	1	0	0	1	240.62	79.68	7.54	11.80	100	to
5	1	1	0	0	2	249.28	79.68	11.93	11.80	100	use
5	1	1	0	0	3	262.33	79.68	13.07	11.80	100	this
5	1	1	0	0	4	276.51	79.68	20.63	11.80	100	chart:
4	1	1	0	1	0	223.736300	91.677200	155.097000	11.799000	-1	###LINE###
5	1	1	0	1	0	223.74	91.68	28.27	11.80	100	Shipping
5	1	1	0	1	1	253.49	91.68	13.86	11.80	100	with
5	1	1	0	1	2	268.84	91.68	19.70	11.80	100	FedEx
5	1	1	0	1	3	290.02	91.68	49.06	11.80	100	distance-based
5	1	1	0	1	4	340.57	91.68	15.97	11.80	100	rates
5	1	1	0	1	5	358.02	91.68	4.87	11.80	100	is
5	1	1	0	1	6	364.37	91.68	14.46	11.80	100	easy
4	1	1	0	2	0	223.736300	101.676200	142.515000	11.799000	-1	###LINE###
5	1	1	0	2	0	223.74	101.68	13.86	11.80	100	with
5	1	1	0	2	1	239.08	101.68	11.59	11.80	100	this
5	1	1	0	2	2	252.16	101.68	15.43	11.80	100	zone
5	1	1	0	2	3	269.07	101.68	22.26	11.80	100	locator
5	1	1	0	2	4	292.81	101.68	26.95	11.80	100	specially
5	1	1	0	2	5	321.25	101.68	36.67	11.80	100	customized
5	1	1	0	2	6	359.40	101.68	6.85	11.80	100	to
4	1	1	0	3	0	223.736300	111.675200	151.047000	11.799000	-1	###LINE###
5	1	1	0	3	0	223.74	111.68	14.36	11.80	100	your
